Tick;Step;DateTime;0_Position;1_Position;ID
0;0;2019-01-01T11:00:00.0000000+01:00;23;51;1bc60dd4-92f4-4f84-be1e-99fa14ec0f63
0;0;2019-01-01T11:00:00.0000000+01:00;5;51;230a70e5-cfc4-4288-8e1a-34ac323c17ba
0;0;2019-01-01T11:00:00.0000000+01:00;0;44;b35ed733-64ad-4c7f-bb34-cdc315d1680f
0;0;2019-01-01T11:00:00.0000000+01:00;51;0;900f5961-5ae6-4185-a6a9-6286a8c7bbd7
0;0;2019-01-01T11:00:00.0000000+01:00;51;22;8be6a746-f9d6-4ec0-a0b8-9f21a36f327f
0;0;2019-01-01T11:00:00.0000000+01:00;0;24;9dbc4bb4-f2a0-440a-82ab-e95376618d01
0;0;2019-01-01T11:00:00.0000000+01:00;0;31;a1831dbb-c1d5-425c-9ba3-0e3a36086177
0;0;2019-01-01T11:00:00.0000000+01:00;30;0;dec57aaa-1578-4a3a-a8d6-12d336374c02
0;0;2019-01-01T11:00:00.0000000+01:00;51;21;6f1755df-acb6-4924-9462-6fb7d18dc6c9
0;0;2019-01-01T11:00:00.0000000+01:00;0;36;4117138c-453c-4127-936a-6c9d9259b829
0;0;2019-01-01T11:00:00.0000000+01:00;37;51;97500014-9597-4526-ae4a-77ab0ad88c90
0;0;2019-01-01T11:00:00.0000000+01:00;51;11;e5db7022-ec1b-40c1-b907-b41349c9130a
0;0;2019-01-01T11:00:00.0000000+01:00;26;51;240575a9-f428-4a52-81bf-ef0812834cbd
0;0;2019-01-01T11:00:00.0000000+01:00;0;42;25c07965-e9f1-4ce4-a136-b23b26384d30
0;0;2019-01-01T11:00:00.0000000+01:00;0;30;c0208357-03bd-4fde-bd28-3c9098ccfc80
0;0;2019-01-01T11:00:00.0000000+01:00;32;0;03ea6648-a3c1-4019-a73a-47f49840e167
0;0;2019-01-01T11:00:00.0000000+01:00;51;35;faefead1-38ba-4d81-9aaf-e0611fc0c729
0;0;2019-01-01T11:00:00.0000000+01:00;10;0;54257661-9526-4cf2-ada7-4d914b2d0f51
0;0;2019-01-01T11:00:00.0000000+01:00;31;0;f11fb6e6-1a5f-43d2-8805-0462493ec86e
0;0;2019-01-01T11:00:00.0000000+01:00;0;32;9c27ccba-60ac-4c99-95d5-0eed07703532
0;0;2019-01-01T11:00:00.0000000+01:00;51;28;00962050-8957-44a9-be1a-51272df7b333
0;0;2019-01-01T11:00:00.0000000+01:00;0;43;8dfe3f7a-f8fa-4f16-8eee-df22e5b8162f
0;0;2019-01-01T11:00:00.0000000+01:00;51;2;4704f55f-7a96-4a68-a84d-084f06e6bb53
0;0;2019-01-01T11:00:00.0000000+01:00;0;4;b8929a1f-1dcb-4ace-8161-9f765f1e7f25
0;0;2019-01-01T11:00:00.0000000+01:00;51;3;215ac715-077a-440a-b99e-6e98324146a6
0;0;2019-01-01T11:00:00.0000000+01:00;0;2;e1d9b32f-6447-4340-ac75-4e566e016582
0;0;2019-01-01T11:00:00.0000000+01:00;42;51;9792fc47-27b0-4148-869c-e2d45b1a2de6
0;0;2019-01-01T11:00:00.0000000+01:00;0;16;fdf79e46-1c44-44c3-aec3-4a7c12e52a99
0;0;2019-01-01T11:00:00.0000000+01:00;51;41;b0cf99d0-950e-40e6-9f27-aa0bd42c7837
0;0;2019-01-01T11:00:00.0000000+01:00;18;0;11177c11-0bb9-4132-b8e0-469f79915603
0;0;2019-01-01T11:00:00.0000000+01:00;8;49;74fb2af3-48f2-4ff6-b96a-7c99e84ad103
0;0;2019-01-01T11:00:00.0000000+01:00;13;0;a21b2338-33ec-4bdc-9111-c6052340d954
0;0;2019-01-01T11:00:00.0000000+01:00;11;51;92ebdd12-59b4-4136-baef-cb3c3d709afe
0;0;2019-01-01T11:00:00.0000000+01:00;41;0;f2e79469-87a1-4185-b826-6460b9adf2cb
0;0;2019-01-01T11:00:00.0000000+01:00;39;0;42b7bf41-113d-4af3-bbfc-aecbdd5b1108
0;0;2019-01-01T11:00:00.0000000+01:00;35;0;6a858fb1-9a98-4a90-a8e3-49b625815a88
0;0;2019-01-01T11:00:00.0000000+01:00;43;51;49c4c0a5-42fa-43f3-b867-0cd5fd5edcf7
0;0;2019-01-01T11:00:00.0000000+01:00;48;0;05e17768-5825-46eb-befc-931aab73e63a
0;0;2019-01-01T11:00:00.0000000+01:00;34;51;b73151af-0561-48e3-b4f3-1b4ed934b517
0;0;2019-01-01T11:00:00.0000000+01:00;51;13;c325eb4a-ddb8-4dcf-a18c-07c303d7e864
0;0;2019-01-01T11:00:00.0000000+01:00;15;0;841cd716-5c77-4fa7-ae61-7255cbb7fd06
0;0;2019-01-01T11:00:00.0000000+01:00;39;51;ba094fc6-21df-409c-9aa5-a6f81f976624
0;0;2019-01-01T11:00:00.0000000+01:00;6;51;b401dd17-80c8-4390-971d-955147c2369a
0;0;2019-01-01T11:00:00.0000000+01:00;25;51;5b396770-12e9-4969-a7b3-887dec0ee666
0;0;2019-01-01T11:00:00.0000000+01:00;14;51;3350184a-77f7-4088-b4fa-bb9e0f9e8e45
0;0;2019-01-01T11:00:00.0000000+01:00;45;51;bba5779f-ff8b-48df-9343-75ec1fd9704f
0;0;2019-01-01T11:00:00.0000000+01:00;51;47;4f46cf3a-5a3c-4d19-bc67-feabc938960b
0;0;2019-01-01T11:00:00.0000000+01:00;8;0;dcf28c43-4d44-4cd7-80cb-2146e4acf5f3
0;0;2019-01-01T11:00:00.0000000+01:00;51;45;861c8d57-587c-4b1e-a02b-41085b4a4c2b
0;0;2019-01-01T11:00:00.0000000+01:00;0;5;d827ac15-2ec2-4ec7-af28-61ff52e438da
0;0;2019-01-01T11:00:00.0000000+01:00;51;34;be91c21d-38dd-456f-8fcc-b27164a86e18
0;0;2019-01-01T11:00:00.0000000+01:00;46;51;f762e044-d1a8-440b-9db7-fdb63cdebda3
0;0;2019-01-01T11:00:00.0000000+01:00;15;51;cc22592e-e92e-4b3a-9085-1687f4879194
0;0;2019-01-01T11:00:00.0000000+01:00;0;47;1faad839-1f77-4149-8326-285071fe8445
0;0;2019-01-01T11:00:00.0000000+01:00;7;51;e3a19d7f-5d01-422d-ab2e-1dcd1efe10ae
0;0;2019-01-01T11:00:00.0000000+01:00;0;7;444723db-3576-4703-8d4e-04e08cb68df7
0;0;2019-01-01T11:00:00.0000000+01:00;0;48;5b296317-2927-4761-8110-5884192bcc29
0;0;2019-01-01T11:00:00.0000000+01:00;24;0;674a26c4-b958-43b0-b2a3-a49a58ae1c07
0;0;2019-01-01T11:00:00.0000000+01:00;36;0;878e9235-869a-4608-add4-ff9b0c8771f0
0;0;2019-01-01T11:00:00.0000000+01:00;0;25;0c6ddc4f-f378-468e-ac74-20583c5a3982
0;0;2019-01-01T11:00:00.0000000+01:00;51;15;0b2de698-035a-4bbc-b08f-75c76fa82f48
0;0;2019-01-01T11:00:00.0000000+01:00;51;20;e9162552-1e9b-48a8-8924-d8527e6df975
0;0;2019-01-01T11:00:00.0000000+01:00;28;51;a5412d31-fa63-4dcf-bfb0-d5a14536b38e
