Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;memberID;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
10;10;2019-01-01T11:00:10.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;11;41;bafbd049-5336-476e-8ea7-50750f676ba5
11;11;2019-01-01T11:00:11.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;13;39;1f83bceb-4714-46a6-b71f-7f407e7aef89
11;11;2019-01-01T11:00:11.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;12;40;17e0a18e-0697-44cb-ab5d-77833289990f
11;11;2019-01-01T11:00:11.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;12;40;bafbd049-5336-476e-8ea7-50750f676ba5
12;12;2019-01-01T11:00:12.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;14;38;1f83bceb-4714-46a6-b71f-7f407e7aef89
12;12;2019-01-01T11:00:12.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;13;39;17e0a18e-0697-44cb-ab5d-77833289990f
12;12;2019-01-01T11:00:12.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;13;39;bafbd049-5336-476e-8ea7-50750f676ba5
13;13;2019-01-01T11:00:13.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;15;37;1f83bceb-4714-46a6-b71f-7f407e7aef89
13;13;2019-01-01T11:00:13.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;14;38;17e0a18e-0697-44cb-ab5d-77833289990f
13;13;2019-01-01T11:00:13.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;14;38;bafbd049-5336-476e-8ea7-50750f676ba5
14;14;2019-01-01T11:00:14.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;16;36;1f83bceb-4714-46a6-b71f-7f407e7aef89
14;14;2019-01-01T11:00:14.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;15;37;17e0a18e-0697-44cb-ab5d-77833289990f
14;14;2019-01-01T11:00:14.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;15;37;bafbd049-5336-476e-8ea7-50750f676ba5
15;15;2019-01-01T11:00:15.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;17;35;1f83bceb-4714-46a6-b71f-7f407e7aef89
15;15;2019-01-01T11:00:15.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;16;36;17e0a18e-0697-44cb-ab5d-77833289990f
15;15;2019-01-01T11:00:15.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;16;36;bafbd049-5336-476e-8ea7-50750f676ba5
16;16;2019-01-01T11:00:16.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;18;34;1f83bceb-4714-46a6-b71f-7f407e7aef89
16;16;2019-01-01T11:00:16.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;17;35;17e0a18e-0697-44cb-ab5d-77833289990f
16;16;2019-01-01T11:00:16.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;17;35;bafbd049-5336-476e-8ea7-50750f676ba5
17;17;2019-01-01T11:00:17.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;19;33;1f83bceb-4714-46a6-b71f-7f407e7aef89
17;17;2019-01-01T11:00:17.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;18;34;17e0a18e-0697-44cb-ab5d-77833289990f
17;17;2019-01-01T11:00:17.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;18;34;bafbd049-5336-476e-8ea7-50750f676ba5
18;18;2019-01-01T11:00:18.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;20;32;1f83bceb-4714-46a6-b71f-7f407e7aef89
18;18;2019-01-01T11:00:18.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;19;33;17e0a18e-0697-44cb-ab5d-77833289990f
18;18;2019-01-01T11:00:18.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;19;33;bafbd049-5336-476e-8ea7-50750f676ba5
19;19;2019-01-01T11:00:19.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;21;31;1f83bceb-4714-46a6-b71f-7f407e7aef89
19;19;2019-01-01T11:00:19.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;20;32;17e0a18e-0697-44cb-ab5d-77833289990f
19;19;2019-01-01T11:00:19.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;20;32;bafbd049-5336-476e-8ea7-50750f676ba5
20;20;2019-01-01T11:00:20.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;22;30;1f83bceb-4714-46a6-b71f-7f407e7aef89
20;20;2019-01-01T11:00:20.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;21;31;17e0a18e-0697-44cb-ab5d-77833289990f
20;20;2019-01-01T11:00:20.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;21;31;bafbd049-5336-476e-8ea7-50750f676ba5
21;21;2019-01-01T11:00:21.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;23;29;1f83bceb-4714-46a6-b71f-7f407e7aef89
21;21;2019-01-01T11:00:21.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;22;30;17e0a18e-0697-44cb-ab5d-77833289990f
21;21;2019-01-01T11:00:21.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;22;30;bafbd049-5336-476e-8ea7-50750f676ba5
22;22;2019-01-01T11:00:22.0000000+01:00;10;yellow;standing;100;False;5;3;0;0;0;False;0;10;10;False;0;2;50;24;28;1f83bceb-4714-46a6-b71f-7f407e7aef89
22;22;2019-01-01T11:00:22.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;23;29;17e0a18e-0697-44cb-ab5d-77833289990f
22;22;2019-01-01T11:00:22.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;23;29;bafbd049-5336-476e-8ea7-50750f676ba5
23;23;2019-01-01T11:00:23.0000000+01:00;10;yellow;standing;90;False;5;3;0;0;0;False;0;10;10;True;2;2;50;25;27;1f83bceb-4714-46a6-b71f-7f407e7aef89
23;23;2019-01-01T11:00:23.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;24;28;17e0a18e-0697-44cb-ab5d-77833289990f
23;23;2019-01-01T11:00:23.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;24;28;bafbd049-5336-476e-8ea7-50750f676ba5
24;24;2019-01-01T11:00:24.0000000+01:00;10;yellow;standing;90;False;5;3;0;0;0;False;0;10;10;True;1;2;50;26;26;1f83bceb-4714-46a6-b71f-7f407e7aef89
24;24;2019-01-01T11:00:24.0000000+01:00;10;yellow;standing;100;False;5;1;0;0;0;False;0;10;10;False;0;1;49;25;27;17e0a18e-0697-44cb-ab5d-77833289990f
24;24;2019-01-01T11:00:24.0000000+01:00;10;yellow;standing;100;False;5;2;0;0;0;False;0;10;10;False;0;1;50;25;27;bafbd049-5336-476e-8ea7-50750f676ba5
